CountyID,State_x,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FIPS,State_y
4001,Arizona,Apache County,71602,35355,36247,6.1,18.5,0.5,72.8,0.3,0.1,50359,32360,1213,13865,370,35.9,45.3,29.7,25.4,20.6,11.5,12.8,78,8.9,1.2,4.6,1.2,6.2,26.7,18197,52.7,42.7,4.4,0.1,14.1,40001,AZ
4003,Arizona,Cochise County,126516,64094,62422,35,55.7,3.6,0.9,1.8,0.4,92064,47847,1539,24896,602,18.1,25.9,34.4,24.3,24.1,10.1,7.2,79.1,10.3,0.7,2.8,2.7,4.4,20.5,43404,63.6,29.9,6.1,0.4,7.6,40003,AZ
4005,Arizona,Coconino County,138639,68264,70375,13.9,54.3,1.2,25.8,1.8,0.1,105097,53523,2500,25722,1041,21,23.2,36.5,22.7,22.5,8.4,9.9,70,11.4,1.5,8.6,3.8,4.8,18.4,65283,71.5,23.5,4.7,0.2,8.3,40005,AZ
4007,Arizona,Gila County,53145,26284,26861,18.6,62.8,0.4,15.6,0.9,0,41292,41179,1678,22433,944,21.9,36.4,31.6,22.8,21.4,15.3,8.9,78.2,12.8,0.1,2.8,1.1,5,18.7,18216,71,23.1,5.7,0.2,11.7,40007,AZ
4009,Arizona,Graham County,37700,20233,17467,32.5,51.2,1.8,12.6,0.7,0.2,26382,48173,2637,17874,895,21.4,28.7,28.3,21.1,23.7,15.7,11.3,76.8,15.1,1.1,2.1,1.7,3.3,20.9,12412,72.7,23.3,3.9,0.2,12.2,40009,AZ
4011,Arizona,Greenlee County,9368,4997,4371,46.4,47.6,2,3.6,0.4,0,6499,56298,8257,24935,2053,11.5,15.7,24,16.4,14,28.5,17.1,85.8,9.6,0,1.7,0.8,2.1,17.8,3675,82.8,13,4,0.2,7.6,40011,AZ
4012,Arizona,La Paz County,20477,10530,9947,26.3,58.7,0.8,11.1,0.8,0.2,15702,36479,4789,21707,1480,19.7,38.1,26.4,26.8,18.4,18.2,10.1,70.5,9.3,0.6,8.2,3.2,8.3,12.9,6474,67.7,25.6,6.7,0,9.5,40013,AZ
4013,Arizona,Maricopa County,4155501,2055464,2100037,30.6,56.3,5.1,1.5,3.9,0.2,2778337,58580,350,30186,163,15.7,22.5,37.4,18.1,26.7,8.4,9.5,76.4,10.9,2.2,1.5,2.5,6.4,25.8,1929015,82.8,11.1,5.9,0.1,6,40012,AZ
4015,Arizona,Mohave County,204691,103175,101516,15.9,78,1,2.1,1.2,0.1,160544,41567,796,23527,630,18.6,27.2,24.3,25.4,26.8,10.9,12.7,79.9,12.6,0.9,1.5,2.1,3.1,20.4,69774,78.6,14.1,7.1,0.2,10.1,40015,AZ
4017,Arizona,Navajo County,107902,54037,53865,11.2,41.6,0.7,43.2,0.6,0.1,76593,38798,1774,17685,626,29.1,38.6,29.3,24.7,22.8,11.7,11.5,73.1,11.9,1.1,4.9,2.4,6.6,21.6,33186,62.1,31.9,5.8,0.2,16.3,40017,AZ
4019,Arizona,Pima County,1007257,495714,511543,36.6,52.6,3.2,2.4,2.6,0.1,726019,48676,534,27323,309,18.3,25.8,36.4,21.5,24.9,8.7,8.5,76.5,10,2.7,2.3,3.6,4.8,24.5,433478,75.7,17.6,6.5,0.2,8.4,40019,AZ
4021,Arizona,Pinal County,405537,211665,193872,29.6,57.4,4.3,4.3,1.6,0.3,286075,52628,891,22944,448,15.5,22,29.4,22.8,25.5,10.5,11.8,78.8,11.7,0.2,1.7,2,5.5,31,144930,77.2,16.9,5.7,0.2,7.8,40021,AZ
4023,Arizona,Santa Cruz County,46358,22229,24129,83.4,15,0.3,0.2,0.8,0,27410,39630,2778,19482,1456,21.8,29.4,25.6,20.8,29.7,10.9,13,83.9,7.8,0.3,1.6,1.7,4.7,23.5,17421,70.8,20,8.9,0.2,8.7,40023,AZ
4025,Arizona,Yavapai County,220972,108100,112872,14.3,80.9,0.5,1.5,0.9,0,176240,48259,1287,27504,633,14.7,20.1,31.9,22.7,24.5,11.1,9.8,75.2,11.8,0.3,3.1,2.2,7.3,23.2,83535,76.4,14.2,9.3,0.1,7.3,40025,AZ
4027,Arizona,Yuma County,204281,104914,99367,62.9,31.8,1.8,0.9,1.1,0.1,121564,43253,1376,20600,428,19.7,28.2,24.9,23,22.8,17.4,12,80.7,10.4,1.7,2.4,1.8,3,19.6,74891,74.4,20.8,4.6,0.2,10.9,40027,AZ
